#rxn ID	rxn (extended name)	rxn codes (Rhea ID/EC number)	UniProt IDs (other organisms)	top hit (target organism)	other hits (target organism)
RIBFLVtm	Riboflavin reversible mitochondrial transport	RHEA:35018, RHEA:35016, RHEA:35015, RHEA:35017	Q9Y267, Q497L9	('Q6CCU6', 0.717)	('Q6CCJ1', 0.715), ('Q6C8K6', 0.704), ('Q6CI42', 0.703), ('Q6CAS4', 0.686), ('Q6CBM5', 0.686), ('Q6C2L7', 0.684), ('Q6CFJ6', 0.683), ('Q6C0W8', 0.681), ('Q6CAS2', 0.67), ('Q6CG30', 0.663), ('Q6CBM4', 0.662), ('Q6C031', 0.656), ('Q6CCK8', 0.654), ('Q6CE30', 0.653), ('Q6C6Y3', 0.652), ('Q6C574', 0.647), ('Q6CC13', 0.643), ('Q6C2Q4', 0.642), ('Q6C3G0', 0.642), ('Q6CDU0', 0.64), ('Q6CE31', 0.639), ('Q6C0K5', 0.638), ('Q6CC59', 0.638), ('Q6C7X3', 0.637), ('Q6CH11', 0.634), ('Q6C025', 0.634), ('Q6C152', 0.633), ('Q6C2L4', 0.631), ('Q6CG07', 0.629), ('Q6CAT5', 0.623), ('Q6CB29', 0.622), ('Q6CG69', 0.621), ('Q6C9M0', 0.621), ('Q6C1C6', 0.62), ('Q6CAP1', 0.614), ('Q6CI95', 0.613), ('Q6CD26', 0.613), ('Q6C9D4', 0.609), ('Q6C8F4', 0.608), ('Q6CDU4', 0.608), ('Q6C3Q6', 0.606), ('Q6C9U1', 0.606), ('Q6CBN6', 0.605), ('Q6CBU1', 0.604), ('Q6C576', 0.599), ('Q6C1G6', 0.597), ('Q6CD18', 0.595), ('Q6C0J9', 0.595), ('Q6C2K7', 0.594), ('Q6C3H0', 0.593), ('Q6CB72', 0.592), ('Q6CE14', 0.588), ('Q6CGP0', 0.587), ('Q6CGX6', 0.586), ('Q6C1T2', 0.586), ('F2Z653', 0.585), ('Q6CDG0', 0.584), ('Q6CEH9', 0.584), ('Q6CD11', 0.583), ('Q6C4W0', 0.578), ('Q6CG86', 0.577), ('Q6CDF9', 0.577), ('Q6C952', 0.577), ('Q6CBQ5', 0.575), ('Q6C2G6', 0.575), ('Q6CEA9', 0.574), ('Q6CCF5', 0.573), ('Q6CA52', 0.569), ('Q6CBN7', 0.568), ('W0TYN6', 0.564), ('Q6C539', 0.562), ('Q6CGP4', 0.562), ('Q6CGV6', 0.56), ('Q6C0D7', 0.559), ('Q6CD90', 0.557), ('Q6CCM3', 0.554), ('Q6CCU2', 0.553), ('F2Z6D9', 0.552), ('Q6CCP4', 0.55), ('Q6C9N1', 0.55), ('Q6CDV0', 0.547), ('Q6C6D0', 0.546), ('Q6C4F3', 0.545), ('Q6C745', 0.543), ('Q6CI79', 0.54), ('Q6C1S6', 0.539), ('Q6C2L1', 0.539), ('Q6CCR5', 0.535), ('Q6CD19', 0.535), ('Q6CBN8', 0.533), ('Q6C0E0', 0.532), ('Q6CEE0', 0.532), ('Q6C1Q4', 0.528), ('Q6C581', 0.522), ('Q6C300', 0.52)
H2Otn	H2O transport nuclear	RHEA:29668, RHEA:29670, RHEA:29669, RHEA:29667	P55087, O94778, P60844, P56405, P56404	('Q6C3A8', 0.734)	('Q6C6W7', 0.717), ('Q6C3E2', 0.701)
PIt2n	phosphate nuclear transport via proton symport	RHEA:29942, RHEA:29939, RHEA:29940, RHEA:29941	P25297, Q8GSG4	('Q6CG86', 0.869)	('Q6CGX6', 0.868), ('Q6CCJ1', 0.754), ('Q6CCU6', 0.738), ('Q6CH11', 0.736), ('Q6CG69', 0.734), ('Q6C9U1', 0.733), ('Q6CBN6', 0.719), ('Q6CBN7', 0.708), ('Q6C152', 0.706), ('Q6C2L7', 0.701), ('Q6CI42', 0.699), ('F2Z653', 0.692), ('Q6C8K6', 0.692), ('Q6CD11', 0.684), ('Q6C0K5', 0.683), ('Q6CEH9', 0.683), ('Q6C6Y3', 0.682), ('Q6CAP1', 0.68), ('Q6CEA9', 0.678), ('Q6CE30', 0.678), ('Q6CDU0', 0.678), ('Q6CE31', 0.677), ('Q6C0E0', 0.677), ('Q6CC59', 0.677), ('Q6CAS4', 0.675), ('Q6C576', 0.674), ('W0TYN6', 0.674), ('Q6CBQ5', 0.673), ('Q6CAT5', 0.668), ('Q6C7X3', 0.662), ('Q6C2Q4', 0.657), ('Q6CFJ6', 0.656), ('Q6CG30', 0.654), ('Q6C4W0', 0.653), ('Q6CDG0', 0.652), ('Q6C025', 0.651), ('Q6C1A0', 0.645), ('Q6C137', 0.639), ('Q6C574', 0.636), ('Q6CD26', 0.636), ('Q6C3Q6', 0.635), ('Q6CBU1', 0.635), ('Q6C9M0', 0.635), ('Q6CI95', 0.634), ('Q6C1C6', 0.634), ('Q6C0H0', 0.632), ('Q6CB29', 0.631), ('Q6C0J9', 0.63), ('Q6C1G6', 0.621), ('Q6C031', 0.621), ('Q6C581', 0.617), ('Q6CGP0', 0.617), ('Q6CCF5', 0.616), ('Q6C9D4', 0.616), ('Q6CHZ5', 0.615), ('Q6C8F4', 0.614), ('Q6CB72', 0.612), ('Q6C0W8', 0.612), ('Q6C952', 0.612), ('Q6CD90', 0.61), ('Q6C2L4', 0.61), ('Q6CDU4', 0.607), ('Q6CC13', 0.606), ('Q6C8C4', 0.606), ('Q6CA52', 0.605), ('Q6C6D0', 0.605), ('Q6CBB3', 0.604), ('Q6CG07', 0.602), ('Q6CCR5', 0.6), ('Q6C4F3', 0.6), ('Q6C1S6', 0.6), ('Q6C0D7', 0.599), ('Q6CD18', 0.597), ('F2Z6D9', 0.596), ('Q6CB18', 0.596), ('Q6C8N0', 0.595), ('Q6CE14', 0.594), ('Q6CI79', 0.593), ('Q6CCM3', 0.593), ('Q6C3H0', 0.591), ('Q6CCK8', 0.588), ('Q6C8F6', 0.588), ('Q6CH77', 0.584), ('Q6CBN8', 0.583), ('Q6C0D8', 0.582), ('Q6C2G6', 0.582), ('Q6CDV0', 0.582), ('Q6C8F0', 0.581), ('Q6CCU2', 0.581), ('Q6CCP4', 0.58), ('Q6CGJ0', 0.578), ('Q6C539', 0.577), ('Q6CE82', 0.574), ('Q6CGU8', 0.573), ('Q6C5H1', 0.571), ('Q6CGP4', 0.57), ('Q6CD19', 0.569), ('Q6C2L1', 0.569), ('Q6CAS2', 0.569), ('Q6C8P9', 0.569), ('Q6CGV6', 0.569), ('Q6C4M8', 0.568), ('Q6C7W7', 0.568), ('Q6C039', 0.567), ('Q6CCC4', 0.567), ('Q6C1S0', 0.566), ('Q6CDG9', 0.565), ('Q6C745', 0.565), ('Q6CDF9', 0.564), ('Q6C1Q4', 0.564), ('Q6C878', 0.563), ('Q6CEE0', 0.563), ('Q6CBM4', 0.563), ('Q6CFC0', 0.563), ('Q6C4F7', 0.563), ('Q6BZW3', 0.562), ('Q6CI92', 0.56), ('Q6CB15', 0.558), ('Q6CGW3', 0.558), ('Q6C8Z9', 0.556), ('Q6CBM9', 0.554), ('Q6C1T2', 0.553), ('Q6CBM5', 0.552), ('Q6C843', 0.551), ('Q6CFJ8', 0.549), ('Q6BZZ0', 0.543), ('Q6C7X0', 0.542), ('Q6C2K7', 0.542), ('Q6C9N1', 0.541), ('Q6C300', 0.538), ('Q6C2Z8', 0.534), ('Q6CGY6', 0.533), ('Q6CCQ9', 0.532), ('Q6C3G0', 0.531), ('Q6C8Y0', 0.529), ('Q6CE20', 0.527), ('Q6C155', 0.525), ('Q6CD98', 0.522), ('Q6CD09', 0.521), ('Q6CGR1', 0.51)
SERt2m	serine mitochondrial transport via proton symport	RHEA:28889, RHEA:28888, RHEA:28887, RHEA:28890	Q8K4D3, Q8BHK3, P0AAD6, Q8K415, P0AAD8	('Q6C9E5', 0.729)	('Q6C4A9', 0.727), ('Q6C6C3', 0.715), ('Q6BZX9', 0.703), ('Q6C4Z1', 0.676), ('Q6CC65', 0.664), ('Q6C7J4', 0.662), ('Q6C2K5', 0.657), ('Q6CGM1', 0.611), ('Q6CBM6', 0.609), ('Q6C902', 0.606), ('Q6CCP6', 0.6), ('Q6CDZ1', 0.599), ('Q6C122', 0.599), ('Q6C9P9', 0.591), ('Q6C6Q5', 0.59), ('Q6CCF3', 0.588), ('Q6C6E2', 0.588), ('Q6C0C9', 0.582), ('Q6C8H1', 0.581), ('Q6C2K9', 0.579), ('Q6C563', 0.578), ('Q6CGG5', 0.577), ('Q6C312', 0.568), ('Q6C8X5', 0.564), ('Q6C9Y3', 0.561), ('Q6CHL8', 0.55), ('Q6CAR8', 0.547), ('Q6CHZ3', 0.545), ('Q6CE01', 0.541)
SPMDAT1	Spermidine acetyltransferase	RHEA:28152, RHEA:28153, RHEA:28151, RHEA:28150, EC:2.3.1.57	P39909, P0A951, Q9HL57, P21340, Q9KL03, Q5CPU3, Q92831, P21673, P48026	('Q6CHB3', 0.702)	('Q6CG60', 0.674), ('Q6CC85', 0.631), ('Q6BZQ1', 0.629), ('Q6CFM0', 0.617), ('Q8WZM0', 0.581)
THMDt2	thymidine transport in via proton symport	RHEA:29958, RHEA:29957, RHEA:29955, RHEA:29956	P0AFF4, P0AFF2		
TMDK1	thymidine kinase ATPthymidine	RHEA:19129, RHEA:19131, RHEA:19130, RHEA:19132, EC:2.7.1.21	Q27564, Q9S750, O81263, F4KBF5, O52951, Q9WYN2, P04183, Q9PPP5, O96720		
TMDK1	thymidine kinase ATPthymidine	RHEA:19129, RHEA:19131, RHEA:19130, RHEA:19132, EC:2.7.1.21	Q9R088, O00142	('Q6C2B0', 0.523)	
TMPKr	thiamine phosphate kinase	RHEA:15915, RHEA:15916, RHEA:15913, RHEA:15914, EC:2.7.4.16	A3MTW6, P0AGG0, P55881	('Q99148', 0.625)	
TYRt2m	tyrosine mitochondrial transport via proton symport	RHEA:28876, RHEA:28875, RHEA:28878, RHEA:28877	P0AAD4	('Q6C902', 0.7771)	('Q6C9E5', 0.7672), ('Q6CF79', 0.7607), ('Q6CE18', 0.7585), ('Q6BZX9', 0.7553), ('Q6CCP6', 0.7506), ('Q6CDH6', 0.75), ('Q6C3A6', 0.7484), ('Q6C4A9', 0.7457), ('Q6C7J4', 0.7424), ('Q6C5G9', 0.7407), ('Q6CHL8', 0.7347), ('Q6C4Z1', 0.7341), ('Q6CE13', 0.7338), ('Q6C2K5', 0.7327), ('Q6CDZ1', 0.7299), ('Q6CCF3', 0.7235), ('Q6CGM1', 0.7177), ('Q6C563', 0.7168), ('Q6CBM6', 0.7107), ('Q6CED5', 0.7104), ('Q6CE01', 0.7071), ('Q6CGG5', 0.7002), ('Q6C122', 0.6995), ('Q6CHZ3', 0.6992), ('Q6C9P9', 0.6937), ('Q6C6C3', 0.6932), ('Q6CFS0', 0.6905), ('Q6CC65', 0.6898), ('Q6C2K9', 0.6897), ('Q6C0C9', 0.6819), ('Q6C6E2', 0.6712), ('Q6C8X5', 0.6691), ('Q6C3B4', 0.6667), ('Q6C6Q5', 0.6646), ('Q6C312', 0.6569), ('Q6C8H1', 0.647), ('Q6C8R1', 0.6469), ('Q6C9Y3', 0.6306), ('Q6BZV6', 0.6275), ('Q6C7M8', 0.6267), ('Q6CD22', 0.6145), ('Q6CAR8', 0.596), ('Q6C4C1', 0.5841), ('Q6CA61', 0.5529), ('Q6C8G5', 0.5471)
TYRt2p	tyrosine peroxisomal transport via proton symport	RHEA:28876, RHEA:28875, RHEA:28878, RHEA:28877	P0AAD4	('Q6C902', 0.7771)	('Q6C9E5', 0.7672), ('Q6CF79', 0.7607), ('Q6CE18', 0.7585), ('Q6BZX9', 0.7553), ('Q6CCP6', 0.7506), ('Q6CDH6', 0.75), ('Q6C3A6', 0.7484), ('Q6C4A9', 0.7457), ('Q6C7J4', 0.7424), ('Q6C5G9', 0.7407), ('Q6CHL8', 0.7347), ('Q6C4Z1', 0.7341), ('Q6CE13', 0.7338), ('Q6C2K5', 0.7327), ('Q6CDZ1', 0.7299), ('Q6CCF3', 0.7235), ('Q6CGM1', 0.7177), ('Q6C563', 0.7168), ('Q6CBM6', 0.7107), ('Q6CED5', 0.7104), ('Q6CE01', 0.7071), ('Q6CGG5', 0.7002), ('Q6C122', 0.6995), ('Q6CHZ3', 0.6992), ('Q6C9P9', 0.6937), ('Q6C6C3', 0.6932), ('Q6CFS0', 0.6905), ('Q6CC65', 0.6898), ('Q6C2K9', 0.6897), ('Q6C0C9', 0.6819), ('Q6C6E2', 0.6712), ('Q6C8X5', 0.6691), ('Q6C3B4', 0.6667), ('Q6C6Q5', 0.6646), ('Q6C312', 0.6569), ('Q6C8H1', 0.647), ('Q6C8R1', 0.6469), ('Q6C9Y3', 0.6306), ('Q6BZV6', 0.6275), ('Q6C7M8', 0.6267), ('Q6CD22', 0.6145), ('Q6CAR8', 0.596), ('Q6C4C1', 0.5841), ('Q6CA61', 0.5529), ('Q6C8G5', 0.5471)
XTSNt2	xanthosine transport in via proton symport	RHEA:28941, RHEA:28942, RHEA:28940, RHEA:28939	P45562	('Q6C0H0', 0.734)	('Q6C2L1', 0.7283), ('Q6C745', 0.7161), ('Q6CB15', 0.7158), ('Q6CGV6', 0.7113), ('Q6CAS2', 0.709), ('Q6CEE0', 0.7055), ('Q6C4F3', 0.6958), ('Q6C4G5', 0.6951), ('Q6CGJ0', 0.6948), ('Q6CCV9', 0.6916), ('Q6CGW3', 0.691), ('Q6C8H4', 0.6904), ('Q6C3H0', 0.6884), ('Q6CDU0', 0.6883), ('Q6C539', 0.6875), ('Q6C8Z9', 0.6869), ('Q6CCU2', 0.6844), ('Q6C8H5', 0.6841), ('F2Z6D9', 0.6816), ('Q6CBU1', 0.6815), ('Q6C1S6', 0.68), ('Q6C0D7', 0.6785), ('Q6CCM3', 0.6779), ('Q6CGP4', 0.6777), ('Q6C2L7', 0.674), ('Q6CE30', 0.6728), ('Q6C1T2', 0.6692), ('Q6CCR5', 0.6689), ('Q6CCQ9', 0.6678), ('Q6C7W7', 0.6668), ('Q6C920', 0.6665), ('Q6C9M0', 0.6663), ('Q6CD18', 0.6659), ('Q6CD19', 0.6653), ('Q6CDG9', 0.665), ('Q6C0K5', 0.6644), ('Q6C8N0', 0.6642), ('Q6CDV0', 0.6631), ('Q6CBR6', 0.6618), ('Q6CE20', 0.6602), ('Q6CGR1', 0.6602), ('Q6C9U1', 0.6597), ('Q6C053', 0.6594), ('Q6C137', 0.6592), ('Q6C8E3', 0.659), ('Q6CCP4', 0.6582), ('Q6C8C4', 0.657), ('Q6CCF5', 0.6567), ('Q6C8F4', 0.6556), ('Q6C2K7', 0.6556), ('Q6CA52', 0.6555), ('Q6CBN8', 0.6552), ('Q6C3Q6', 0.6545), ('Q6CBN6', 0.654), ('Q6C448', 0.6532), ('Q6CBB3', 0.6524), ('Q6CD09', 0.6514), ('Q6CBM4', 0.651), ('Q6CHB2', 0.6504), ('Q6CBM5', 0.6499), ('Q6C952', 0.6489), ('Q6CBM9', 0.6485), ('Q6BZZ0', 0.6484), ('Q6CA69', 0.648), ('Q6CFC0', 0.6472), ('Q6CB72', 0.6467), ('Q6CB29', 0.6464), ('Q6CH77', 0.6444), ('Q6C6Y3', 0.6438), ('Q6C025', 0.6436), ('Q6C1G6', 0.643), ('Q6CD56', 0.6397), ('Q6C3G0', 0.6386), ('Q6C819', 0.6384), ('Q6C0D8', 0.6381), ('Q6C2L4', 0.6377), ('Q6CI92', 0.6375), ('Q6C878', 0.6369), ('Q6C8M0', 0.6362), ('Q6CC13', 0.6351), ('Q6C2G6', 0.6345), ('Q6CI42', 0.6338), ('W0TYN6', 0.6337), ('Q6CE82', 0.6336), ('Q6CHM0', 0.6332), ('Q6CD11', 0.6331), ('Q6C9D4', 0.633), ('Q6C6D0', 0.6327), ('F2Z653', 0.6325), ('Q6C8K6', 0.6316), ('Q6C0E0', 0.6315), ('Q6C2Q4', 0.6313), ('Q6CC59', 0.6312), ('Q6CBN7', 0.631), ('Q6CG07', 0.6305), ('Q6CFJ6', 0.6278), ('Q6C4F7', 0.6278), ('Q6C2Z8', 0.6272), ('Q6CAT5', 0.6256), ('Q6CGP0', 0.6245), ('Q6CAP1', 0.6244), ('Q6C4W0', 0.6239), ('Q6CEA9', 0.6231), ('Q6CDG0', 0.6222), ('Q6CGY6', 0.6219), ('Q6C152', 0.6218), ('Q6CH11', 0.6214), ('Q6C1A0', 0.6207), ('Q6C718', 0.6207), ('Q6C155', 0.62), ('Q6CG30', 0.6193), ('Q6C1S0', 0.618), ('Q6CAS4', 0.6174), ('Q6C0W8', 0.6168), ('Q6CCK8', 0.6159), ('Q6C581', 0.6155), ('Q6CI95', 0.6134), ('Q6C1C6', 0.6126), ('Q6CDU4', 0.6125), ('Q6CCC4', 0.6122), ('Q6C8P9', 0.6106), ('Q6CDF9', 0.6105), ('Q6CE31', 0.6092), ('Q6CFJ8', 0.6084), ('Q6CGU8', 0.6072), ('Q6C0J9', 0.6061), ('Q6CGJ2', 0.605), ('Q6CCU6', 0.6035), ('Q6CB18', 0.6034), ('Q6C039', 0.6019), ('Q6CBQ5', 0.6017), ('Q6C300', 0.6011), ('Q6CCJ1', 0.601), ('Q6CD26', 0.6004), ('Q6C8F6', 0.5985), ('Q6CD90', 0.5985), ('Q6C031', 0.598), ('Q6C335', 0.5961), ('Q6CE14', 0.5937), ('Q6C576', 0.5928), ('Q6CGX6', 0.5922), ('Q6C574', 0.5903), ('Q6C7X0', 0.5838), ('Q6CG86', 0.5827), ('Q6C4M8', 0.5819), ('Q6C1Q4', 0.5804), ('Q6CI79', 0.5789), ('Q6C8Y0', 0.5761), ('Q6C8F0', 0.5687), ('Q6C843', 0.5676), ('Q6CEH9', 0.567), ('Q6CD98', 0.565), ('Q6CG69', 0.5639), ('Q6C7X3', 0.5552), ('Q6C9N1', 0.5545), ('Q6C5H1', 0.5517), ('Q6BZW3', 0.5476)
DHFS	dihydrofolate synthase	RHEA:23584, RHEA:23585, RHEA:23586, RHEA:23587, EC:6.3.2.12	Q9UTD0, I6Y0R5, P08192, F4JYE9	('Q6CHD4', 0.855)	('Q6C4Q7', 0.744)
L_LACtm	L lactate transport mitochondrial	RHEA:29418, RHEA:29417, RHEA:29416, RHEA:29415	P53985, O35910, P53987, O15427, O70451, Q63344, Q03064	('Q6C3H0', 0.799)	('Q6C0D7', 0.773), ('Q6CC59', 0.753), ('W0TYN6', 0.75), ('Q6CDG0', 0.747), ('Q6CEH9', 0.747), ('F2Z6D9', 0.737), ('Q6C6Y3', 0.733), ('Q6C1C6', 0.73), ('Q6CGP0', 0.728), ('Q6C6D0', 0.724), ('Q6CCR5', 0.721), ('Q6CI95', 0.72), ('Q6CB72', 0.716), ('Q6CBB3', 0.714), ('Q6C878', 0.712), ('Q6C745', 0.711), ('Q6CD19', 0.707), ('Q6CBU1', 0.705), ('Q6CGW3', 0.704), ('Q6CCU2', 0.698), ('Q6CBM9', 0.693), ('Q6C4F3', 0.693), ('Q6C2G6', 0.693), ('Q6C8F4', 0.692), ('Q6CI92', 0.69), ('Q6CGV6', 0.69), ('Q6C2Q4', 0.69), ('Q6CCC4', 0.687), ('Q6CCP4', 0.687), ('Q6C0J9', 0.687), ('Q6C3Q6', 0.686), ('Q6CGP4', 0.686), ('Q6CDU4', 0.686), ('Q6CCM3', 0.685), ('Q6C2K7', 0.685), ('Q6C8F6', 0.684), ('Q6C539', 0.683), ('Q6C2L1', 0.683), ('Q6CD18', 0.681), ('Q6CB15', 0.679), ('Q6C025', 0.679), ('Q6C300', 0.678), ('Q6BZZ0', 0.678), ('Q6C0D8', 0.675), ('Q6CCK8', 0.669), ('Q6C1G6', 0.669), ('Q6C1S0', 0.668), ('Q6CHM0', 0.664), ('Q6C8C4', 0.664), ('Q6C0W8', 0.664), ('Q6C9M0', 0.663), ('Q6CEE0', 0.663), ('Q6C2L4', 0.662), ('Q6C0H0', 0.662), ('Q6CH77', 0.662), ('Q6CE82', 0.661), ('Q6C1T2', 0.661), ('Q6CAS2', 0.661), ('Q6C2Z8', 0.66), ('Q6C8N0', 0.66), ('Q6CG07', 0.659), ('Q6CDG9', 0.657), ('Q6CCQ9', 0.656), ('Q6CD26', 0.655), ('Q6C2L7', 0.654), ('Q6C4F7', 0.651), ('Q6CDV0', 0.651), ('Q6CC13', 0.65), ('Q6CBN8', 0.649), ('Q6CBM4', 0.647), ('Q6CA52', 0.647), ('Q6CE30', 0.646), ('Q6CBM5', 0.646), ('Q6CGJ0', 0.645), ('Q6C7X3', 0.645), ('Q6CCF5', 0.645), ('Q6C7W7', 0.643), ('Q6C8P9', 0.642), ('Q6C1S6', 0.641), ('Q6C137', 0.641), ('Q6CDU0', 0.64), ('Q6CD90', 0.64), ('Q6C3G0', 0.639), ('Q6C952', 0.639), ('Q6CE14', 0.638), ('Q6C576', 0.638), ('Q6CDF9', 0.637), ('Q6C9D4', 0.637), ('Q6CB29', 0.633), ('Q6CFC0', 0.631), ('Q6CG30', 0.63), ('Q6CI79', 0.63), ('Q6C8K6', 0.629), ('Q6C8F0', 0.628), ('Q6CFJ6', 0.628), ('Q6C039', 0.626), ('Q6CI42', 0.626), ('Q6C574', 0.623), ('Q6C7X0', 0.622), ('Q6CCJ1', 0.621), ('Q6C581', 0.62), ('Q6CGU8', 0.616), ('Q6C1Q4', 0.613), ('Q6C4W0', 0.613), ('Q6C0E0', 0.611), ('Q6C8Z9', 0.611), ('Q6CBN6', 0.61), ('Q6C5H1', 0.609), ('Q6CCU6', 0.609), ('Q6C843', 0.608), ('Q6C031', 0.607), ('Q6C0K5', 0.607), ('Q6CB18', 0.606), ('Q6C9U1', 0.605), ('Q6C4M8', 0.604), ('Q6CAS4', 0.602), ('Q6CG69', 0.599), ('Q6C1A0', 0.597), ('Q6CAT5', 0.596), ('Q6C053', 0.595), ('Q6C152', 0.595), ('Q6C8H5', 0.594), ('Q6CE20', 0.591), ('Q6C718', 0.591), ('Q6C8H4', 0.59), ('Q6C8M0', 0.589), ('Q6CBN7', 0.589), ('Q6C448', 0.588), ('Q6C9N1', 0.588), ('Q6CE31', 0.587), ('Q6CD11', 0.587), ('Q6C819', 0.587), ('Q6CEA9', 0.586), ('Q6CHZ5', 0.586), ('Q6CBQ5', 0.585), ('Q6CBR6', 0.583), ('Q6CH11', 0.582), ('Q6C335', 0.581), ('Q6CGX6', 0.579), ('Q6CAP1', 0.578), ('Q6CGR1', 0.578), ('F2Z653', 0.575), ('Q6CD09', 0.569), ('Q6C155', 0.567), ('Q6CFJ8', 0.566), ('Q6CA69', 0.565), ('Q6C8E3', 0.565), ('Q6CHB2', 0.565), ('Q6CCV9', 0.564), ('Q6CG86', 0.564), ('Q6C8Y0', 0.551), ('Q6C920', 0.541), ('Q6C0X7', 0.54), ('Q6CGJ2', 0.54), ('Q6CD98', 0.539), ('Q6CGY6', 0.533)
L_LACtm	L lactate transport mitochondrial	RHEA:29418, RHEA:29417, RHEA:29416, RHEA:29415	Q46839, P33231		
QULNS	quinolinate synthase	RHEA:25891, RHEA:25890, RHEA:25888, RHEA:25889, EC:2.5.1.72	Q9KWZ1, P11458, Q9FGS4, O57767, Q8TZL3		
